GaugeLID,Location,Latitude,Longitude,Waterbody,State,Action,Flood,Moderate,Major,LowThresh,LowThreshU
LIES2,Little Eagle,45.657778,-100.817778,Grand River (SD),SD,14,15,17,21,,ft
LIKF1,Suwannee Springs,30.392778,-82.933333,Suwannee River,FL,61,65,67,69,,ft
LILC2,Lily,40.548333,-108.424167,Little Snake River,CO,9.5,12,13,14,,ft
LIMT1,Limestone,36.205833,-82.650556,Big Limestone Creek,TN,,,,,,ft
LING1,Senoia,33.319167,-84.522222,Line Creek,GA,8,10,15,20,,ft
LINK1,Lincoln,39.027778,-98.150278,Saline River (KS),KS,28,30,36,38.5,,ft
LIRV2,Lick Run,37.773611,-79.784444,James River (VA),VA,12,16,22,25,,ft
LISK1,Louisville,39.249167,-96.314722,Rock Creek (KS),KS,22,27,33,43,,ft
LITA4,Little Rock,34.749722,-92.269167,Arkansas River,AR,18,23,25,27,,ft
LITF1,Lithia,27.871944,-82.211389,Alafia River (FL),FL,11,13,16,19,,ft
LITN7,Star/Troy,35.386389,-79.832222,Little River (North Carolina),NC,13,14,18,20,,ft
LITS2,Martin,43.167222,-101.6325,Little White River,SD,8,10,11.5,13,,ft
LITW2,Litwar,37.479167,-81.838333,Tug Fork River,WV,20,24,25,27,,ft
LIVM8,Livingston,45.597211,-110.566497,Yellowstone River,MT,,9.5,10,10.5,,ft
LIVT2,Livingston,30.716111,-94.958611,Long King Creek,TX,14,19,25,30,,ft
LKAM2,Northampton Lake Dam in Lake Arbor,38.900556,-76.807778,Unnamed Tributary,MD,,,,,,ft
LKBM5,Lake Bronson,48.732222,-96.667222,Two Rivers River,MN,,,,,,ft
LKBM7,Bagnell,38.191389,-92.607222,Osage River,MO,22,,,,1.5,ft
LKCI4,Lanesboro,42.169083,-94.726028,North Raccoon River (IA),IA,12,15,,,,ft
LKCM5,Lake City,44.45,-92.263611,Mississippi River,MN,13,16,18,20,,ft
LKCM7,Lake City,39.100556,-94.300278,Little Blue River (MO),MO,12,18,25,27,,ft
LKCT2,Lake Coleman,32.03,-99.465,West Central Texas Lakes,TX,1717.5,,,,,ft
LKDM2,Northampton Lake Dam in Lake Arbor,38.900556,-76.807222,Unnamed Tributary,MD,,,,,,ft
LKHC1,Lake Havasu,34.316111,-114.156389,Colorado River,CA,,,,,,ft
LKJF1,Lake Jesup Outlet near Sanford,28.785833,-81.180556,St. Johns River,FL,,,,,,ft
LKJV2,Lake Jackson,38.705276,-77.445254,Occoquan River,VA,,,,,,ft
LKNN6,Lakeland,43.080833,-76.226667,Ninemile Creek,NY,7.5,8,8.5,9,,ft
LKPA3,Lake Pleasant,33.930556,-112.277222,Agua Fria River,AZ,,,,,,ft
LKSM7,Bagnell Dam,38.2025,-92.626389,Osage River,MO,,,,,,ft
LKSN7,Lookout Shoals Dam,35.765833,-81.093333,Catawba River,NC,100.5,103,105,110,,ft
LKST2,San Antonio I-35 South,29.329722,-98.583889,Leon Creek,TX,13,15,16,20,,ft
LKTG1,Lake Kedron Dam,33.421667,-84.578333,Flat Creek,GA,8,10,12,15,,ft
LKWN5,Lakewood,32.672778,-104.368889,Fourmile Draw,NM,9,12,18,20,,ft
LKZM5,Zumbro Lake,44.212778,-92.48,Zumbro River,MN,915.6,918,920,923,,ft
LLAT2,Llano,30.751111,-98.669444,Llano River,TX,10,10,12,23,,ft
LLBM2,Lake Laurel,39.090944,-76.859639,Bear Branch,MD,,,,,,ft
LLBN7,highway 9 near Chimney Rock,35.4375,-82.241111,Broad River,NC,18,20,25,30,,ft
LLDP1,Lake Lynn,39.720833,-79.855556,Cheat River,PA,,,,,,ft
LLDT1,Lowland,36.126111,-83.175556,Nolichucky River,TN,,,,,,ft
LLET2,Lake Leon,32.363611,-98.675278,North Texas Lakes,TX,,,,,,ft
LLGC1,Gilroy,36.9872,-121.5281,Llagas Creek,CA,19,,20.98,,,ft
LLGN7,(W Fork) ABV LAKE LOGAN,35.396111,-82.9375,Pigeon River (NC),NC,8,9,14,18,,ft
LLGT2,Luling,29.666111,-97.650556,San Marcos River,TX,11,20,24,30,,ft
LLHI1,Howe,43.870261,-113.087919,Little Lost River,ID,,,,,,ft
LLKW1,Long Lake Dam,47.836667,-117.838333,Spokane River,WA,,,,,,ft
LLLN7,Lillington,35.406111,-78.813333,Cape Fear River,NC,13,14,19,27,,ft
LLMO1,Spring Valley,39.583333,-84.030278,Little Miami River,OH,9,11,14,17,,ft
LLNC1,Lodi Lane,38.527222,-122.490833,Napa River,CA,10,,12,,,ft
LLPW2,Lake Lynn Dam Pool,39.72,-79.855833,Cheat River,WV,,,,,,ft
LLRI1,Wet Creek,44.138603,-113.245142,Little Lost River,ID,,,,,,ft
LLRW4,Laramie,41.326667,-105.6075,Laramie River,WY,8,9,10,11,,ft
LLST2,Lake Limestone,31.325,-96.318889,North Texas Lakes,TX,,,,,,ft
LLYC1,Los Laurels,34.543611,-119.863889,Santa Ynez River,CA,,,,,,ft
LMAC2,Lamar,38.105833,-102.618056,Arkansas River,CO,9,11,13,15,,ft
LMBM5,Lamberton,44.254722,-95.311111,Cottonwood River (MN),MN,,,,,,ft
LMBW4,Boles Spring,41.961111,-106.317222,Little Medicine Bow River,WY,6,8,,,,ft
LMCA2,Juneau,58.391667,-134.420833,Lemon Creek,AK,,,,,,
LMCG1,Below Lake McIntosh,33.360278,-84.586389,Line Creek,GA,8,10,14,17,,ft
LMCN1,Lincoln (SW 63rd Street),40.811021,-96.806096,Middle Creek,NE,12,19,,,,ft
LMCN8,Williston,48.284444,-103.5725,Little Muddy River,ND,8,10,12,14,,ft
LMCT2,Louise,29.070556,-96.416944,East Mustang Creek,TX,10,19,22,25,,ft
LMDN5,La Madera,36.349722,-106.044167,Rio Ojo Caliente,NM,7,7,9,10,,ft
LMGM6,Lambert,34.180556,-90.215278,Tallahatchie River,MS,31,32,35,37,,ft
LMGT2,Lake Graham,33.134444,-98.613333,North Texas Lakes,TX,,,,,,ft
LMHA2,Lake Minchumina,63.909722,-152.278611,Lake Minchumina,AK,,,,,,ft
LMIS1,Russelville,33.398889,-79.9975,Lake Moultrie,SC,,,,,,ft
LMKT2,Laredo,27.575833,-99.506111,Manadas Creek,TX,,,,,,ft
LMRI4,Le Mars,42.800278,-96.173889,Floyd River,IA,18,20,21,24,,ft
LMRV2,Lake Mercer,38.737778,-77.254722,South Run,VA,,,,,,ft
LMTT2,Martin Creek Lake,32.261667,-94.573056,Martin Creek,TX,,,,,,ft
LMVT2,Lake Murvaul,32.034444,-94.420833,Murvaul Bayou,TX,267.5,268,270,272,,ft
LMYC1,Goleta,34.444722,-119.802778,Maria Ygnacio Creek,CA,4.5,5,,,,ft
LNBV2,Lunenburg,36.997222,-78.35,North Meherrin River,VA,,,,,,ft
LNCN1,Holmes Lake,40.7822,-96.6375,Antelope Creek,NE,1244.59,1249.7,,1267.2,,ft
LNCP1,Lancaster,40.05,-76.2775,Conestoga River,PA,9,11,13,15,,ft
LNDK1,Lyndon,38.601389,-95.684444,Salt Creek (LNDK1),KS,5,10,16,24,,ft
LNDM6,Landon,30.483611,-89.274444,Wolf River,MS,26,27,28,30,,ft
LNDN4,Landing,40.9175,-74.664167,Lake Hopatcong,NJ,,,,,,ft
LNDN6,Lindenhurst,40.6691,-73.3561,Atlantic Coast,NY,3.4,3.5,4,4.5,-2,ft
LNDN7,LAWNDALE,35.415315,-81.5608,First Broad River,NC,18.5,20,26,28,,ft
LNDO2,Lindsay,34.8181,-97.5983,Washita River,OK,16,18,20,24,,ft
LNDP1,Linden,40.228333,-80.144167,Linden Creek,PA,,12,14,,,ft
LNDW1,Landsburg,47.393889,-121.953333,Cedar River (WA),WA,,5.7,6.5,7.5,,ft
LNEK1,Lane,38.443611,-95.083889,Pottawatomie Creek,KS,18,23,24,28.5,,ft
LNGP1,Langhorne,40.173889,-74.957222,Neshaminy Creek,PA,8,9,10,12,,ft
LNGS1,Longs,33.9125,-78.715278,Waccamaw River,SC,,,,,,ft
LNGV1,Montpelier Langdon St.Bridge,44.260833,-72.576389,North Branch Winooski River,VT,515,520,522,524,,ft
LNIM7,Macks Creek,37.934722,-93.066944,Little Niangua River,MO,13,,,,,ft
LNMI2,London Mills,40.707778,-90.28,Spoon River,IL,13,15,21,24,,ft
LNNI4,Linn Grove,42.895833,-95.243056,Little Sioux River,IA,17,18,19.5,21,,ft
LNPN4,Lincoln Park,40.924722,-74.3025,Beaver Dam Brook,NJ,,,,,,ft
LNRI2,Leonore,41.208333,-88.930833,Vermilion River (N-IL),IL,15.5,16,21,26,,ft
LNRK1,Lenora,39.615278,-100.001667,N F Solomon River,KS,8,10,12,14,,ft
LNRW1,Nile,46.9875,-121.098611,Little Naches River,WA,,,,,,ft
LNSC2,Lyons,40.2208,-105.2636,Saint Vrain Creek,CO,11,11.5,12,12.5,,ft
LNSI4,Lansing,43.360278,-91.213333,Mississippi River,IA,12,17,19,20,,ft
LNSK1,Lindsborg,38.563889,-97.666111,Smoky Hill River,KS,19,21,29,33.9,,ft
LNSM4,Lansing,42.750556,-84.555278,Grand River,MI,10,11,13,15,,ft
LNSM5,Lanesboro,43.721944,-91.978611,South Branch Root River,MN,10,12,16,18,,ft
LNTC1,Pt. Reyes Station,38.080278,-122.783333,Lagunitas Creek,CA,,,,,,ft
LNTI4,Lone Tree,41.423889,-91.478611,Iowa River,IA,14,15,16.5,18,,ft
LNYT2,Foster Ranch,29.780556,-101.758333,Rio Grande,TX,14,14,15,22,,ft
LOBT2,Lower Brownsville,25.876389,-97.455556,Rio Grande,TX,24,27,28,29,,ft
LOCI1,Lowell,46.15083,-115.587222,Lochsa River,ID,,,,,,ft
LOCM8,Locate,46.43,-105.309444,Powder River (WY-MT),MT,,,,,,ft
LOCN4,Raven Rock,40.416111,-75.017778,Lockatong Creek,NJ,,,,,,ft
LOCO1,Lockington,40.214444,-84.243889,Loramie Creek,OH,15,35,59,62,,ft
LOCV2,Locust Dale,38.325,-78.095833,Robinson River,VA,9,11,15.5,24,,ft
LODN4,Lodi,40.890278,-74.080833,Saddle River,NJ,5.5,6,7,8,,ft
LODW3,Lodi,43.321667,-89.531111,Spring Creek,WI,5.5,6.5,7,7.5,,ft
LOGG1,Loganville,33.821389,-83.9425,Brushy Fork Creek,GA,7,9,11,16,,ft
LOGM6,Locopolis,33.975833,-90.257778,Tallahatchie River,MS,32,33,35.5,38,,ft
LOGM8,Logan,45.885356,-111.438286,Gallatin River,MT,8,9,10,11,,ft
LOGW2,Logan,37.842222,-81.978889,Guyandotte River,WV,21,23,28,35,,ft
LOKN1,Lincoln (Air Park Road),40.855365,-96.779262,Oak Creek,NE,12,28,,,,ft
LOLT2,Long Lake (Oakwood),31.648333,-95.789167,Trinity River,TX,30,35,40,45,,ft
LOMM8,Loma,47.944167,-110.530833,Marias River,MT,,,,,,
LONN7,PAW CREEK,35.328611,-80.909722,Long Creek,NC,11,12.5,16,18,,ft
LONT2,Longview,32.416667,-94.709722,Sabine River,TX,23,25,30,35,,ft
LOPW1,Longview,46.105556,-122.953889,Columbia River,WA,12,13.5,,15,,ft
LORI1,Lorenzo,43.73535,-111.878106,Snake River,ID,,,,,,ft
LORM4,Loretto,45.7775,-87.8275,Sturgeon River - Dickinson Co,MI,,,,,,ft
LOSK2,Germantown,38.234444,-85.730556,South Fork Beargrass Creek,KY,,,,,,ft
LOSO3,Lost Creek Lake,42.67096,-122.674762,Rogue River,OR,,1872,,,,ft
LOUK1,Louisville,39.291111,-96.230278,Vermillion Creek,KS,25,30,34,44,,ft
LOUN1,Louisville,41.014969,-96.15726,Platte River,NE,8,9,11,12,,ft
LOUN7,Louisburg,36.093056,-78.296111,Tar River,NC,20,20,22,23,,ft
LOVC2,Sedalia,39.438333,-104.9825,Plum Creek (CO),CO,6.5,8,10,12,,ft
LOVG1,Lovejoy,33.415556,-84.384722,Flint River,GA,9,12,14,16,,ft
LOVK1,Lovewell Reservoir KS,39.884444,-98.028056,White Rock Creek,KS,,,,,,ft
LOWA1,Lowry Mill  (CR 215),31.533333,-85.983333,Whitewater Creek,AL,17.9,,,,,ft
LOWM3,Lowell,42.645925,-71.298394,Merrimack River,MA,50,52,54,58,,ft
LOWN7,Lowell,35.285278,-81.101111,South Fork Catawba River,NC,9,10,13,15.5,,ft
LOYP1,Loyalsockvile,41.325,-76.912778,Loyalsock Creek,PA,9,12,13,14,,ft
LPCI3,Montmorenci,40.467222,-87.058056,Little Pine Creek (IN),IN,6.5,8,9.5,12,,ft
LPGM2,Guilford,39.167778,-76.851389,Little Patuxent River,MD,8,11,16,20,,ft
LPHC1,Machada Avenue,37.4218,-121.9068,Lower Penitencia Creek,CA,,,,,,ft
LPHC2,Hesperus,37.289722,-108.04,La Plata River,CO,5,,,,,ft
LPHN6,Laphams Mills,44.594167,-73.496667,Little Ausable River,NY,,,,,,ft
LPML1,Mandeville,30.366389,-90.091944,Lake Pontchartrain,LA,,,,,,ft
LPOL1,Liverpool,30.930556,-90.673333,Tickfaw River,LA,9,9,11,12,,ft
LPPM8,Wolf Creek,47.005556,-112.069444,Little Prickly Pear Creek,MT,,,,,,ft
LPPT2,Lake Palo Pinto,32.6475,-98.268889,North Texas Lakes,TX,,,,,,ft
LPRC1,,36.386111,-121.683611,Los Padres Dam,CA,1040,,,,,ft
LPRI4,Lake Park,43.419586,-95.269068,West Fork Little Sioux River,IA,10,12,13,15,,ft
LPRL1,Bayou Terrebonne Structure near Lapeyrouse,29.388889,-90.587778,Mississippi River Delta Basin,LA,,,,,,ft
LPRM2,Duckett Dam near Laurel,39.115833,-76.873889,Patuxent River,MD,8.5,9.5,13,,,ft
LPTG1,Lake Peachtree Tailrace,33.383056,-84.572778,Flat Creek,GA,7,10,14,16,,ft
LPTK2,Lockport,38.438889,-84.963333,Kentucky River,KY,30,33,43,49,,ft
LPTL1,Logansport,31.972222,-94.006111,Sabine River,LA,27,28,32,34,,ft
LPTT2,Lake Palestine,32.053333,-95.436667,Neches River,TX,360,,,,,ft
LPTW4,Weston,44.926944,-105.352778,Little Powder River,WY,8,13,15,16,,ft
LQPM5,Lac Qui Parle,44.995278,-95.919444,Lac Qui Parle River,MN,,,,,,ft
LRBM8,Monida below Lima Reservoir,44.655833,-112.371389,Red Rock River,MT,,,,,,
LRBN7,Lake Lure Dam,35.424444,-82.178611,Broad River in NC/SC,NC,8,10,14,16,,ft
LRCL1,Covington at Lee Road,30.499722,-90.084167,Bogue Falaya River,LA,,,,,,ft
LRDN7,Lake Lure Dam,35.425,-82.184167,Broad River in NC/SC,NC,990.5,991,994,998,,ft
LRGV2,Sterling,39.046389,-77.4325,Broad Run,VA,9,10,15,18,,ft
LRHI3,Huntington,40.898611,-85.413056,Little River Huntington,IN,12,15,16,19,,ft
LRIT2,Little River,30.966389,-97.345833,Little River,TX,28,30,40,46,,ft
LRKC1,Lark Avenue,37.2518,-121.9645,Los Gatos Creek,CA,,,10,,,ft
LRLL1,Lacombe,30.265,-89.956111,Bayou Lacombe,LA,,,,,,ft
LRLV2,Laurel Mills,38.655556,-78.074167,Battle Run,VA,9,11,15,20,,ft
LRRC1,Santa Cruz,36.990833,-122.031111,San Lorenzo River (CA),CA,18,20.6,23.33,25,,ft
LRRM8,Lima Reservoir near Lima,44.654444,-112.3625,Red Rock River,MT,,,,,,ft
LRSV2,Little River Reservoir,37.0775,-80.5725,Little River (VA),VA,,,,,,ft
LRTC1,Tujunga Avenue,34.141111,-118.378333,Los Angeles River,CA,12,13.9,,,,ft
LRTL1,Larto Lake,31.359708,-91.938556,Larto Lake,LA,,,,,,ft
LRTN1,Loretto,41.763404,-98.086232,Beaver Creek,NE,7,9,11.5,14,,ft
LRVN7,MERRILL ROAD,35.237778,-82.637222,Little River (NC),NC,8,9,14,17,,ft
LRWW1,Woodland,45.905833,-122.738056,Lewis River,WA,22,24,,28,,ft
LRYA1,Leroy,31.485833,-87.908889,Tombigbee River,AL,19,24,30,35,,ft
LRYK1,Le Roy,38.076944,-95.634167,Neosho River,KS,18,23,23,38,,ft
LRYN7,Rhyne NC,35.300556,-80.972778,Long Creek,NC,10.5,15,17,19,,ft
LRZC1,Hayward,37.685556,-122.063333,San Lorenzo Creek (Alameda),CA,,,,,,ft
LRZN7,Zebulon,35.822,-78.352,Little River (NC),NC,,,,,,ft
LSAN7,Archdale Drive,35.148056,-80.857778,Little Sugar Creek (NC),NC,11,12,14,17,,ft
LSBC1,Lisbon,38.474722,-121.588333,Yolo Bypass,CA,13,19,26,31.1,,ft
LSCC1,Don Castro Reservoir near Castro Valley,37.695278,-122.043889,San Lorenzo Creek (Alameda),CA,,,,,,ft
LSCN1,Lincoln (70th Street),40.885838,-96.624284,Salt Creek,NE,32,34,,,,ft
LSDO2,Lake Stanley Draper,35.328333,-97.356389,East Elm Creek,OK,,,,,,ft
LSDW1,Dartford,47.784722,-117.403333,Little Spokane River,WA,5.5,6.5,7.5,8.5,,cfs
LSDW4,Dixon,41.028333,-107.548611,Little Snake River,WY,8.5,9.5,10.5,11.5,,ft
LSEC1,Sebastopol,38.425556,-122.828056,Laguna de Santa Rosa,CA,67,69,,,,ft
LSFT2,Lake Stamford,33.0625,-99.579167,West Central Texas Lakes,TX,1416.8,,,,,ft
LSGM7,Pineville 7SW,36.583889,-94.373056,Little Sugar Creek,MO,4,6,,,,ft
LSHA2,Parks Hwy Bridge,61.626667,-149.800833,Little Susitna R,AK,9,11,12,13,,ft
LSHN7,Hillside Avenue,35.179167,-80.846389,Little Sugar Creek (NC),NC,9,12,15,20,,ft
LSKC1,King Road,37.3601,-121.8648,Lower Silver Creek,CA,,,,,,ft
LSLI2,La Salle,41.323611,-89.110833,Illinois River,IL,19,20,27,31,,ft
LSLN6,Lisle,42.349722,-75.999444,Tioughnioga River,NY,5,9,12,18,,ft
LSLS2,Lead,44.349444,-103.935556,Little Spearfish Creek,SD,6,7.5,8.5,10,,ft
LSMG1,Stone Mountain,33.830556,-84.139444,Little Stone Mountain Creek,GA,6,8,10,12,,ft
LSMN7,Medical Center Dr,35.203611,-80.836944,Little Sugar Creek (NC),NC,9.5,13.5,16,18,,ft
LSNT2,Strane Park,29.065556,-96.674444,Navidad River,TX,13,24,26,29,,ft
LSOA2,Hatcher Pass Rd Bridge,61.709722,-149.231944,Little Susitna R,AK,9,10,10.9,,,ft
LSON1,Lisco,41.49,-102.624722,North Platte River,NE,3,4,5,6,,ft
LSPI4,Lime Springs,43.466667,-92.2975,Upper Iowa River,IA,8,11,13,14,,ft
LSPT2,Brackettville,29.309167,-100.420278,Las Moras Creek,TX,,,,,,ft
LSRC2,Slater,40.999444,-107.143333,Little Snake River,CO,8.3,9.5,11,12,,ft
LSRS1,Saluda,34.044444,-81.697222,Little Saluda River,SC,13,15,17,28,,ft
LSSF1,Starke,29.930278,-82.1725,Lake Sampson,FL,131,132,133,134,,ft
LSSI4,Spencer,43.212778,-95.239167,Little Sioux River,IA,,,,,,
LSTN7,36th street,35.250278,-80.808333,Little Sugar Creek (NC),NC,9,11,16,20,,ft
LSTO3,Lostine,45.438889,-117.426389,Lostine River,OR,,,,,,ft
LSWT2,Lake Sweetwater,32.438611,-100.303333,West Central Texas Lakes,TX,2116.5,,,,,ft
LTAW4,Little America,41.546111,-109.692778,Blacks Fork,WY,9.5,10.5,11.5,,,ft
LTCM2,Largo Town Center Dam,38.896639,-76.840278,Unnamed Tributary,MD,,,,,,ft
LTCW1,Twin Camp,47.181944,-121.3875,Green River (WA),WA,,,,,,ft
LTDC1,Friant,36.941667,-119.683333,Little Dry Creek,CA,,,,,,ft
LTFN4,Little Falls,40.884722,-74.226111,Passaic River,NJ,6.5,7,8,9,,ft
LTGW4,Big Horn,44.683333,-106.986944,Little Goose Creek,WY,,4,4.5,,,ft
LTIN7,IOTLA,35.232778,-83.391389,Little Tennessee River,NC,7.5,10,14,16,,ft
LTKW3,Rainbow Reservoir,45.830556,-89.552222,Wisconsin River,WI,4,6,7.5,9,,ft
LTLN6,Little Falls,43.014722,-74.779444,Mohawk River,NY,13,15,17,18,,ft
LTLN7,SR1461 Nr Orange Factory,36.141667,-78.919444,Little River (NC),NC,,12,18,,,ft
LTLO2,Lake Lawtonka,34.7361,-98.5031,Medicine Creek,OK,,1345.6,,,,ft
LTLT2,New Terrell City Lake,32.728333,-96.173333,North Texas Lakes,TX,,,,,,ft
LTLW2,Little,39.474167,-80.998056,Middle Island Creek,WV,12,14,16,19,,ft
LTPM8,Lewistown near R&amp;B Trading Post,47.087778,-109.4575,Big Spring Creek (MT),MT,,,,,,ft
LTQC1,Arastradero Road (LTAA),37.3831,-122.1929,Los Trancos Creek,CA,,,,,,ft
LTRM8,Loma,47.9325,-110.513611,Teton River,MT,,,,,,ft
LTRN8,Larimore Dam,47.931944,-97.514167,Turtle River (09020307),ND,,8,12,15,,ft
LTRT2,Langtry,29.802778,-101.445833,Pecos River,TX,7,10,15,20,,ft
LTSC1,Samuel P. Taylor State Park,38.026944,-122.735278,Lagunitas Creek,CA,,,,,,ft
LTTV2,DOSWELL,37.8725,-77.513333,Little River,VA,,,,,,ft
LTWT1,Oneida at Leatherwood Ford,36.477222,-84.669444,Big South Fork Cumberland River,TN,,,,,,ft
LTXT2,Lake Texana,28.896111,-96.594167,Southeast Texas Lakes,TX,,,,,,ft
LUCI1,Lucky Peak Dam,43.525278,-116.054167,Boise River,ID,,,,,,ft
LUCN7,Lucama,35.691389,-78.110556,Contentnea Creek,NC,17,17,19,21,,ft
LUDN6,Ludlowville,42.5525,-76.5339,Salmon Creek,NY,,,,,,ft
LUFT2,Lufkin,31.457222,-94.726111,Angelina River,TX,10,10,15,18,,ft
LUKM2,Luke,39.478889,-79.063889,North Branch Potomac River,MD,9,10.5,12.5,15,,ft
LULT2,Luling,29.699444,-97.603333,Plum Creek,TX,20,23,24,25,,ft
LUMN7,Lumberton West 5th Street,34.62,-79.010833,Lumber River,NC,11,13,16,17,,ft
LUPC2,Fort Lupton,40.1161,-104.818056,South Platte River,CO,,,,,,
LURF1,Luraville (SR 51),30.099722,-83.171667,Suwannee River,FL,34,35,42,48,,ft
LURM6,Laurel,31.6808,-89.1155,Tallahala Creek,MS,12,13,16.5,19,,ft
LUSM7,Louisiana,39.4525,-91.046667,Mississippi River,MO,13,15,20,25,,ft
LUSN1,Lincoln (Pioneers Boulevard),40.77027,-96.7188,Salt Creek,NE,15.5,28,29.5,,,ft
LUTM2,Lutherville,39.425278,-76.596389,Long Quarter Branch,MD,7,8.5,11,13,,ft
LUVM5,Luverne,43.654167,-96.201111,Rock River,MN,8,10,12,14,,ft
LUZM4,Luzerne,44.614722,-84.455556,South Branch Au Sable River,MI,,,,,,ft
LVDT2,Lake Livingston,30.633333,-95.01,Southeast Texas Lakes,TX,,,,,,ft
LVEW4,Kane,44.758611,-108.1808,Big Horn River,WY,13,,,,,ft
LVKC1,Livermore,37.623333,-121.757778,Arroyo Valle,CA,,,,,,ft
LVLO1,Leesville Dam Tailwater,40.470278,-81.196667,Tuscarawas River,OH,,,,,,ft
LVNA1,Livingston,32.573611,-88.193333,Sucarnoochee River,AL,18,18,25,30,,ft
LVNM8,Lavina,46.289056,-108.937611,Musselshell River,MT,,,,,,
LVNN1,Lincoln,40.857054,-96.595184,Stevens Creek,NE,15,16.5,20,21.5,,ft
LVNO2,Loving,34.879722,-94.483889,Poteau River,OK,,,,,,ft
LVNT2,Lake Lavon,33.031667,-96.482222,North Texas Lakes,TX,,,,,467,ft
LVRN6,Liverpool,43.100278,-76.209444,Onondaga Lake,NY,365,366,368,370,,ft
LVTV2,Lovettsville,39.310833,-77.718611,Piney Run (VA),VA,6,9,13,17,,ft
LWAF1,ALTAMONTE SPRINGS 2N,28.686944,-81.397222,Little Wekiva River,FL,29,30,,,,ft
LWBP1,Lewisburg,40.968056,-76.873611,West Branch Susquehanna River,PA,14,18,23,28,,ft
LWCA2,Kashwitna,61.810278,-150.095,Little Willow Creek,AK,,,,,,ft
LWCI3,South Raub,40.301389,-86.923611,Little Wea Creek,IN,7,9,11,,,ft
LWCO1,Kipling,39.99,-81.495833,Leatherwood Creek,OH,,,,,,ft
LWDC1,Lockwood,35.896667,-121.087222,San Antonio River (Monterey),CA,12,,14,,,ft
LWFT2,Lake Weatherford,32.7725,-97.674444,North Texas Lakes,TX,,,,,,ft
LWLM4,Lowell,42.925,-85.342778,Grand River,MI,10,15,18,20,,ft
LWOI1,High 5 Creek,43.492931,-114.057261,Little Wood River,ID,,,,,,ft
LWRG1,Lawrenceville,33.977778,-83.939722,Alcovy River,GA,12,15,20,25,,ft
LWRI1,Little Wood Reservoir,43.42527,-114.0272,Eastern Idaho Reservoirs,ID,,,,,,ft
LWRK1,Lawrence,38.974167,-95.235833,Kansas River,KS,15,18,20,29,,ft
LWRS2,White River,43.601389,-100.749444,Little White River,SD,11,13,15,18,,ft
LWSD1,Lewes,38.783333,-75.116667,Delaware Bay,DE,5.5,6,7,8,-2,ft
LWSP1,Lewistown,40.594444,-77.582778,Juniata River,PA,18,23,27,28,,ft
LWTV2,Lewisetta,37.995,-76.465,Potomac River,VA,2.5,3,3.5,4,-1,ft
LWVP1,Lawrenceville,41.996667,-77.140278,Cowanesque River,PA,11,13,14,17,,ft
LWWT2,Lake Waxahachie,32.341667,-96.805,North Texas Lakes,TX,,,,,,ft
LXGV2,LEXINGTON IFLOWS/COOP,37.791111,-79.43,Maury River,VA,10,15,17,19,,ft
LXHC2,La Junta,37.990556,-103.531944,Arkansas River,CO,10,11,13,15,,ft
LXRF1,Jupiter 5NW,26.985,-80.159722,Loxahatchee River,FL,,,,,,ft
LYCP1,Williamsport,41.266944,-77.046944,Lycoming Creek,PA,,,,,,ft
LYDK2,Lyndon,38.275833,-85.606111,Goose Creek (C KY),KY,,,,,,ft
LYDM8,Libby,48.477222,-115.313056,Lake Koocanusa,MT,,,,,,ft
LYLK2,Loyall,36.846667,-83.355833,Cumberland River,KY,,,,,,ft
LYLP1,Loyalhanna Dam Pool,40.456944,-79.451944,Loyalhanna Creek,PA,,974.5,,,,ft
LYMM6,Lyman,30.488333,-89.035833,Biloxi River,MS,10,12,16,18,,ft
LYNI2,Lyons,41.806111,-87.810278,Des Plaines River,IL,,,,,,ft
LYNI3,Linn Grove,40.656111,-85.032778,Wabash River,IN,9,11,14,17,,ft
LYNK1,Lyons,38.308333,-98.193056,Cow Creek (KS),KS,16,18,22,24.7,,ft
LYNM6,Jackson,32.284444,-90.214444,Lynch Creek,MS,12,,,,,ft
LYNP1,Lynch,41.601944,-79.050278,Tionesta Creek,PA,,,,,,ft
LYNT2,Lyons,30.419444,-96.54,Davidson Creek,TX,9,16,18,20,,ft
LYNW3,Lynxville,43.211667,-91.098611,Mississippi River,WI,619,625,628,631,,ft
LYTI3,Lafayette,40.440556,-86.829167,Wildcat Creek (IN),IN,6,10,15,,0.06,kcfs
LYVP1,Loysville,40.370833,-77.4025,Bixler Run,PA,,,,,,ft
LYWV2,Lynnwood,38.3225,-78.755,South Fork Shenandoah River,VA,14,16,17,20,,ft
MABO3,Beulah Reservoir,43.950278,-118.174444,North Fork Malheur River,OR,,,,,,ft
MACA2,Denali Hwy,63.119444,-146.520833,MacLaren River,AK,5.5,6.5,7.5,,,ft
MACF1,Macclenny,30.358611,-82.081667,St. Marys River,FL,10,12,15,19,,ft
MACG1,Macon,32.838611,-83.620556,Ocmulgee River,GA,16,18,26,30,,ft
MACI1,Mackay Dam,43.95167,-113.67472,Eastern Idaho Reservoirs,ID,,,,,,ft
MACK1,Macksville,37.871389,-98.875833,Rattlesnake Creek (KS),KS,8,9,10,11,,ft
MADA1,Madison,34.697222,-86.699722,Indian Creek (AL),AL,6,7.5,12,16,,ft
MADC3,Lake Hammonasset,41.358333,-72.612778,Lake Hammonasset,CT,,,,,,ft
